video_id,frame_filename,frame,Act level,Act type,Act Tail Feature,Act Tail Wagging,Act Ear Feature,Act Snarling,x_nose,y_nose,x_lower_jaw,y_lower_jaw,x_right_eye,y_right_eye,x_right_earbase,y_right_earbase,x_right_earend,y_right_earend,x_left_eye,y_left_eye,x_left_earbase,y_left_earbase,x_left_earend,y_left_earend,x_neck_end,y_neck_end,x_throat_base,y_throat_base,x_tail_base,y_tail_base,x_tail_end,y_tail_end,x_front_left_thai,y_front_left_thai,x_front_left_knee,y_front_left_knee,x_front_left_paw,y_front_left_paw,x_front_right_thai,y_front_right_thai,x_front_right_knee,y_front_right_knee,x_front_right_paw,y_front_right_paw,x_back_left_paw,y_back_left_paw,x_back_left_thai,y_back_left_thai,x_back_right_thai,y_back_right_thai,x_back_left_knee,y_back_left_knee,x_back_right_knee,y_back_right_knee,x_back_right_paw,y_back_right_paw,xmin,ymin,xmax,ymax
Akira_ovalo_cam-B,img0643.png,643,A1 Low,A1 Lying,H2 Tail-Down,False,H2 Ears-sided,False,1223.014404296875,770.4771728515625,1245.8575439453125,795.5433959960938,1240.0859375,714.6287231445312,,,,,1268.5267333984375,722.4012451171875,1322.374755859375,693.32470703125,1314.5796773141838,762.2370509261686,1391.398193359375,703.0123291015625,,,1583.164306640625,898.3931884765625,1321.318808151226,911.6654909370209,1360.4581385327822,840.76601332123,1322.2851485707668,859.3408078229138,1252.9037615042848,854.858457552848,,,,,,,1355.1201258467368,881.5547979068349,1426.6603108731797,840.8140546833303,,,,,,,,,1195.484619140625,652.2930908203125,1625.05029296875,944.019287109375
Akira_ovalo_cam-B,img0715.png,715,A1 Low,A1 Lying,H2 Tail-Down,False,H2 Ears-sided,False,1128.110107421875,803.5601806640625,1148.822998046875,829.3637084960938,,,,,,,1172.133544921875,763.7942504882812,1217.72705078125,736.1279296875,1204.3719079424632,793.9649382511457,1280.3278403254228,738.8173698477146,1209.5047607421875,830.4879150390625,1429.4707080079907,938.8353004857929,1216.2264833448976,941.2362653798407,1264.0,855.9661865234375,1219.0206298828125,885.421630859375,1141.030029296875,883.1369018554688,,,,,,,1250.0278010404083,911.1255723496547,1321.5679860668513,870.3848291261501,,,,,,,,,1102.3502197265625,702.563720703125,1472.2796630859375,952.3156127929688
Akira_ovalo_cam-B,img0759.png,759,A1 Low,A1 Lying,H2 Tail-Down,False,H2 Ears-sided,False,1174.2749327452416,709.4050988035721,1188.6105693317738,724.3318956617139,,,,,,,1194.669962115772,689.6012297046512,1209.4489689060115,665.511448636561,1211.8136099924498,698.4686337787949,1266.4959351163357,682.9506766490435,1213.2915106714738,718.715873081423,1322.3625638686465,776.4877045454823,1226.7885694196289,778.535718712247,1229.890759977714,747.4151455446956,1201.071696736747,753.7701184644985,1182.0067779773383,753.9179085324009,,,,,,,1243.1928381060907,763.2393548597839,1276.6585253922617,746.1696083245558,,,,,,,,,1161.6934814453125,657.939697265625,1368.31982421875,794.9154052734375
Akira_ovalo_cam-B,img0890.png,890,A1 Low,A1 Lying,H2 Tail-Down,False,H2 Ears-sided,False,1038.9822998046875,769.47705078125,1061.5347778957018,781.4133254837116,,,,,,,1061.6756870713955,738.8713385479517,1088.538818359375,718.209228515625,1086.684326171875,766.6215209960938,1122.6716242543446,710.5954021907299,,,1259.5277099609375,839.5596923828125,1116.5262994204652,842.0896881657966,1121.7061767578125,800.7026977539062,1086.9166259765625,808.3931884765625,1061.2149658203125,810.1994018554688,,,,,,,1132.755998806191,821.6510720099583,1175.5106201171875,803.1844482421875,,,,,,,,,1026.586669921875,702.0408325195312,1285.2220458984375,866.6738891601562
Akira_ovalo_cam-B,img0930.png,930,A1 Low,A1 Lying,H2 Tail-Down,False,H2 Ears-sided,False,1085.0296630859375,918.7432861328124,1118.8719197671658,934.7231981195014,,,,,,,1108.385009765625,878.7215576171875,1142.3935546875,845.4783935546875,1145.0238942713145,896.355965332885,1203.689453125,817.7188720703125,1173.1541748046875,891.212070535714,1405.4561767578125,956.0474243164062,1178.3260102701001,964.9460156140212,1186.09492476716,926.2073914634286,,,1074.733525650214,902.2762075332162,,,,,,,1217.06761142638,938.1931391131136,1310.83251953125,917.774169921875,,,,,,,,,1071.96240234375,784.1282958984375,1438.3963623046875,988.4791259765625
Akira_ovalo_cam-B,img0995.png,995,A1 Low,A1 Lying,H2 Tail-Down,False,H2 Ears-sided,False,1069.801052774974,935.3563155629543,1116.1030815288088,954.6588334356717,,,,,,,1103.9548685842537,899.2109605810292,1142.3935546875,864.5833773993506,1145.8545457428215,924.5981153641262,1184.5844692803369,835.9932044434686,1180.07627040058,910.5939382042129,1405.4561767578125,956.0474243164062,1215.4284426640836,980.1746259249846,1192.7401365392166,936.7289767691851,,,,,,,,,,,1222.5289825377524,953.2119096693878,1283.8580272961754,913.1055078042659,,,,,,,,,1062.7752685546875,801.3365478515625,1444.7841796875,1003.1627197265625
Akira_ovalo_cam-B,img1124.png,1124,A1 Low,A1 Lying,H2 Tail-Down,False,H2 Ears-sided,False,1018.8178100585938,935.5269165039062,1043.4117431640625,954.2380981445312,,,,,,,1052.730712890625,897.7836303710938,1093.0765380859375,876.7576904296875,1099.361946627134,926.8441346450774,1146.5949461876558,837.2422004749545,1126.8456134420392,916.6581902627809,1346.620912571388,959.7056215367793,1154.3487988479396,982.8484558380818,1142.6539065740074,941.4456172591824,,,,,,,,,,,1171.9186865486788,954.6226468307343,1245.961209678248,911.4780827163116,,,1222.062517813644,963.293675911326,,,,,1012.7645874023438,804.1058349609375,1393.1348876953125,1005.1622314453125
Akira_ovalo_cam-B,img1228.png,1228,A1 Low,A1 Lying,H2 Tail-Down,False,H2 Ears-sided,False,970.4308950041116,649.8396335438205,987.6693183571722,680.6566430774202,,,,,,,1028.818603515625,634.332763671875,1086.664306640625,635.1254272460938,1061.3857421875,701.020263671875,1159.9287109375,676.1728515625,1074.1746814460475,717.3127161030021,1364.4425048828125,983.31982421875,1176.4178029242134,963.4730066739129,1174.52783203125,825.12841796875,1137.1790771484375,933.2092895507812,1100.6651611328125,972.9068603515624,,,,,1152.4079448484497,954.9585502951716,1163.2414512385085,972.9689340762053,1249.3958740234375,914.81201171875,,,,,,,,,963.7355346679688,587.1696166992188,1394.7373046875,1004.9965209960938
Akira_ovalo_cam-B,img1346.png,1346,A1 Low,A1 Standing,H2 Tail-Down,False,H2 Ears-sided,False,873.9729614257812,775.4607543945312,902.1314697265624,798.5174560546875,885.9610595703125,720.2000122070312,,,,,919.9046630859376,724.1691284179688,970.9851684570312,694.16015625,981.5693969726562,764.86181640625,1019.7886352539062,678.817626953125,970.6298773841334,784.1714199505114,1249.4576416015625,702.0634765625,1337.724365234375,810.2725830078125,1088.0003662109375,817.0689086914062,1095.63671875,923.2994995117188,1087.7384033203125,986.6614990234376,984.3646240234376,806.6321411132812,973.5747680664062,906.43310546875,978.08642578125,973.1343994140624,1291.9583740234375,976.0007934570312,1237.0745849609375,789.0071411132812,1173.154052734375,811.2801513671875,1279.432861328125,891.836669921875,1210.064208984375,897.9367065429688,1192.274658203125,966.7337036132812,858.1774291992188,644.3131103515625,1373.33642578125,1013.6690673828125
Akira_ovalo_cam-B,img1402.png,1402,A1 Low,A1 Standing,H2 Tail-Down,False,H2 Ears-sided,False,1079.2069091796875,672.0882568359375,1076.7607421875,701.9214477539062,1057.125244140625,646.437255859375,1029.5819091796875,648.5270385742188,1022.961669921875,692.9339599609375,1101.0972900390625,642.569091796875,1122.190185546875,638.5490112304688,,,1138.544921875,656.6177978515625,1070.6290283203125,725.038818359375,1239.6895751953125,698.1106567382812,1355.107666015625,810.0814819335938,1124.2615966796875,781.6358642578125,1106.0205078125,920.1505737304688,1091.5965576171875,987.6315307617188,999.297607421875,804.8596801757812,974.4408569335938,919.569580078125,944.1386108398438,984.136474609375,1295.4783935546875,976.8721923828124,1250.7900390625,799.2337646484375,1183.3974609375,812.174560546875,1288.0498046875,901.3492431640624,1217.35888671875,900.9540405273438,1190.8656005859375,966.6306762695312,915.6639404296875,607.2901611328125,1353.853759765625,1014.633544921875
